,id,titulo,label,canal,data_upload,categoria,tags,duracao_segundos,link,visualizacoes,quantidade_likes,query,tempo_desde_pub,visualizacoes_por_dia,probabilidade
503,watch?v=3Ie39phKdpk,Manual machine - learning BMX racing bike skills!,,Rockstar Harley,2022-10-11,['Sports'],"['bmx racing', 'bike skills', 'dream', 'fun kids', 'jump around', 'unstoppable', ""you can't stop me"", 'manual machine', 'wheelie', 'bike tricks', 'easy bike tricks', 'stunt rider', 'stunt', 'stunter', 'stunt riding', 'bike life', 'bmx life', 'mtb life', 'mountain bike', 'bmx freestyle', 'inspired by fabio wibmer', 'baby fabio wibmer', 'bike', 'learning to ride', 'learning bike skills', 'bmx inspiration', 'mtb inspiration', 'home work out', 'fitness', 'health']",11.0,https://www.youtube.com/watch?v=3Ie39phKdpk,53,954870.0,machine+learning,191.0,0.2774869109947644,0.309
523,watch?v=wtolixa9XTg,How I would learn Machine Learning (if I could start over),,AssemblyAI,2022-09-03,['People & Blogs'],,463.0,https://www.youtube.com/watch?v=wtolixa9XTg,210,10423.0,machine+learning,229.0,0.9170305676855895,0.338
524,watch?v=AopGnnPPczY,How I use Machine Learning as a Data Analyst,,Luke Barousse,2022-08-30,['Science & Technology'],"['data viz by luke', 'business intelligence', 'data science', 'bi', 'computer science', 'data nerd', 'data analyst', 'data scientist', 'how to', 'data project', 'data analytics', 'portfolio project', 'sql', 'excel', 'python', 'power bi', 'tableau', 'data engineer', 'machine learning', 'scikit learn', 'tensorflow', 'pytorch']",710.0,https://www.youtube.com/watch?v=AopGnnPPczY,94,3334.0,machine+learning,233.0,0.4034334763948498,0.303
529,watch?v=C82lT9cWQiA,Building a Machine Learning API in 15 Minutes | Coding Challenge,,Nicholas Renotte,2022-08-10,['Science & Technology'],"['coding challenge', 'python', 'machine learning', 'fast api']",1204.0,https://www.youtube.com/watch?v=C82lT9cWQiA,61,2225.0,machine+learning,253.0,0.2411067193675889,0.39
535,watch?v=6Gd9i3DxhkM,4 CR+ SALARY for DATA SCIENTISTS ??🔥GATE AIR-2 to MACHINE LEARNING @ AMAZON🔥 Scaler Data Science,,E-Learning Bridge,2022-07-30,['Education'],"['shashank mishra', 'e learning bridge', 'data science', 'data scientist', 'a day in life of a data scientist', 'microsoft data scientist', 'microsoft data science interview', 'data science roadmap 2022', 'krish naik', 'data science interview', 'data science for beginners', 'data scientist in faang', 'data scientist salary', 'data science jobs', 'amazon data scientist', 'google data scientist', 'data science course', 'machine learning course', 'scaler', 'scaler review', 'machine learning', 'machine learning interview']",2415.0,https://www.youtube.com/watch?v=6Gd9i3DxhkM,494,10959.0,machine+learning,264.0,1.871212121212121,0.293
536,watch?v=XnqzHfhWDs0,¿Qué es el Machine Learning?,,Tecnocapsulas PUCV,2022-07-29,['Science & Technology'],"['Machine learning', 'Science', 'Stem', 'Aprendizaje automático', 'Computer science', 'Inteligencia artificial', 'Tecnología', 'Pucv', 'Ciencia']",61.0,https://www.youtube.com/watch?v=XnqzHfhWDs0,99,5.0,machine+learning,265.0,0.3735849056603773,0.305
542,watch?v=Ip93CEAiCPs,Problem Solved [Building and Deploying Machine Learning Solutions with Vertex AI Challenge Lab],,Md. Bazlur Rahman Likhon,2022-07-02,['Education'],,1891.0,https://www.youtube.com/watch?v=Ip93CEAiCPs,85,2.0,machine+learning,292.0,0.2910958904109589,0.517
545,watch?v=iuLlMyAVYqE,Building and Deploying Machine Learning Solutions with Vertex AI: Challenge Lab | Qwiklabs [GSP354],,Techie Zilla,2022-06-29,['Science & Technology'],"['Techie Zilla', 'Google cloud ready', 'gcp', 'Qwiklabs', 'Qwiklab Support', 'GoogleCloudReady', '30DaysOfGoogleCloud', 'Cloud', 'Qwiklab', 'Qwiklabs Google Cloud', 'web', 'google cloud', 'Google Cloud Platform', 'Google Events', 'Free Google Swag', 'Free swags', 'Google Cloud Read Facilitator Program', 'Google Cloud Ready Program', '30 Days of Google Cloud', 'Learn to Earn Cloud Challenge', 'GSP354', 'Building and Deploying Machine Learning Solutions with Vertex AI: Challenge Lab']",565.0,https://www.youtube.com/watch?v=iuLlMyAVYqE,3,32.0,machine+learning,295.0,0.0101694915254237,0.328
546,watch?v=5gf2ntjVGe8,Andrew Ng’s Machine Learning Specialization 2022 | What is it and is it worth taking?,,Thu Vu data analytics,2022-06-29,['People & Blogs'],"['data analytics', 'data science', 'python', 'data', 'tableau', 'bi', 'programming', 'technology', 'coding', 'data visualization', 'python tutorial', 'data analyst', 'data scientist', 'data analysis', 'power bi', 'python data anlysis', 'data nerd', 'big data', 'learn to code', 'business intelligence', 'how to use r', 'r data analysis', 'vscode']",727.0,https://www.youtube.com/watch?v=5gf2ntjVGe8,90,3441.0,machine+learning,295.0,0.3050847457627119,0.548
547,watch?v=e6v8PD4CL10,Building and Deploying Machine Learning Solutions with Vertex AI: Challenge Lab#Learn_to_earn#gsp354,,Quick Lab,2022-06-28,['Comedy'],"['Google Cloud Ready Facilitator Program 2022 Solutions', 'Registrations', 'GCRF', 'Quick Lab', 'gcrf', 'learntoearn', 'Building and Deploying Machine Learning Solutions with Vertex AI: Challenge Lab', 'gsp354']",4835.0,https://www.youtube.com/watch?v=e6v8PD4CL10,1,24.0,machine+learning,296.0,0.0033783783783783,0.303
548,watch?v=Roz1-u8ZT20,What is Unsupervised Machine Learning? what is Topic Modeling? #shorts #aishorts,,Pradip Nichite,2022-06-25,['People & Blogs'],,60.0,https://www.youtube.com/watch?v=Roz1-u8ZT20,258,39.0,machine+learning,299.0,0.862876254180602,0.482
553,watch?v=_GqOTTHeXqc,What is Machine Learning in 1 Minute | CODE24,,CODE24,2022-06-19,['Education'],"['what is machine learning', 'machine learning', 'ml', 'ai', 'artificial intelligence', 'ml course', 'code24', 'sadik sir', 'ml by sadik sir', 'learn ml']",59.0,https://www.youtube.com/watch?v=_GqOTTHeXqc,223,20.0,machine+learning,305.0,0.7311475409836066,0.505
568,watch?v=5OuHe_skk0M,A journey to protect the Great Barrier Reef using Machine Learning,,TensorFlow,2022-05-11,['Science & Technology'],"['Tensorflow', 'machine learning', 'ai', 'great barrier reef', 'conservation', 'machine learning for the environment', 'Google I/O', 'Google IO', 'I/O', 'IO 2022', 'IO Google', 'I/O 2022']",286.0,https://www.youtube.com/watch?v=5OuHe_skk0M,51,275.0,machine+learning,344.0,0.1482558139534883,0.41
571,watch?v=Ol4egVsx7K0,UE5 e Unity: Animação Ultra Realista Usando Machine Learning (A.I),,Detonando Gueek,2022-05-05,['Science & Technology'],"['Detonando Gueek', 'unreal engine 5', 'ziva dynamics', 'animação 3d', 'unity', 'jogo realista', 'photorealismo', 'graficos', 'gráficos xbox', 'graficos playstaion', 'mocap', 'next gen', 'GPU', 'Nvidia', 'AMD']",581.0,https://www.youtube.com/watch?v=Ol4egVsx7K0,10,1102.0,machine+learning,350.0,0.0285714285714285,0.307
578,watch?v=KjfMPxS2on8,Machine Learning basics,,Google Developers,2022-04-19,['Science & Technology'],"['Google', 'developers', 'What is machine learning', 'machine learning crash course', 'how do computers find patterns', 'how do you teach a computer', 'computer parameters machine learning', 'ml', 'machine learning basics', 'basic principles of machine learning', 'machine learning parameters', 'google developers', 'google technology', 'google devs', 'google tech', 'tensorflow', 'GDS: Yes']",283.0,https://www.youtube.com/watch?v=KjfMPxS2on8,25,839.0,machine+learning,366.0,0.0683060109289617,0.39
582,watch?v=q6kJ71tEYqM,Machine Learning vs Deep Learning,,IBM Technology,2022-03-31,['Education'],,470.0,https://www.youtube.com/watch?v=q6kJ71tEYqM,228,7902.0,machine+learning,385.0,0.5922077922077922,0.338
594,watch?v=vaQxdBEcBzU,"Live Day 2- Discussing Ridge, Lasso And Logistic Regression Machine Learning Algorithms",,Krish Naik,2022-02-02,['Education'],"['yt:cc=on', 'introduction to machine learning algorithms', 'simple linear regression', 'mutiple linear regression tutorial', 'r squared and adjusted r square', 'ridge regression', 'lasso regression tutorial', 'logistic regression tutorial']",6761.0,https://www.youtube.com/watch?v=vaQxdBEcBzU,112,4052.0,machine+learning,442.0,0.253393665158371,0.399
600,watch?v=GDCnydDWRnM,What is a Machine Learning Engineer,,AltexSoft,2022-01-13,['Science & Technology'],"['machine learning', 'ML engineer', 'data science', 'machine learning engineer', 'data scientist']",705.0,https://www.youtube.com/watch?v=GDCnydDWRnM,24,1037.0,machine+learning,462.0,0.0519480519480519,0.504
613,watch?v=RC7GTAKoFGA,Le Machine Learning c’est quoi ?,,Defend Intelligence,2021-12-08,['Howto & Style'],"['machine learning', 'deep learning', 'comprendre le machine learning', 'intelligence artificielle', ""equation d'un chat"", 'définition machine learning', ""c'est quoi l'intelligence artificielle"", 'machine learning python', 'apprentissage automatique', 'machine learning français', 'apprentissage supervisé', 'machine learning tutoriel', 'apprentissage non supervisé']",335.0,https://www.youtube.com/watch?v=RC7GTAKoFGA,33,1890.0,machine+learning,498.0,0.0662650602409638,0.398
623,watch?v=X-t1stfKZFo,What is Loss function & Risk function in Machine Learning #machinelearning  #youtubeshorts #shorts,,BEPEC by Kanth - #BuildExperience & Get Hired!,2021-11-16,['Education'],"['egression loss', 'classification loss', 'adaptive loss', 'best loss function', 'deep learning', 'machine learning', 'loss function in deep learning', 'loss function in machine learning', 'loss function neural network', 'cost function machine learning', 'risk function', 'data analysis', 'risk management', 'machine learning tutorial', 'deep learning tutorial', 'deep learning cost function', 'Data Science Cost function', 'unfold data science', 'Loss function explained', 'how to calculate loss function']",59.0,https://www.youtube.com/watch?v=X-t1stfKZFo,1,76.0,machine+learning,520.0,0.0019230769230769,0.305
625,watch?v=4O-rqn3BD7I,"Powered by TensorFlow: Creating a custom, machine learning-powered drumming arm",,TensorFlow,2021-11-09,['Science & Technology'],"['Machine Learning', 'ML', 'ML community day', 'Machine learning community day', 'TensorFlow', 'TFX', 'tpu', 'artificial intelligence', 'AI', 'type: Upload Only', 'pr_pr: TensorFlow', 'campaign: TF: PoweredbyTF']",167.0,https://www.youtube.com/watch?v=4O-rqn3BD7I,184,237.0,machine+learning,527.0,0.349146110056926,0.39
634,watch?v=53andhb7SPM,Artificial Intelligence vs Machine Learning vs Deep Learning | Tutort Academy #Shorts #Datascience,,Tutort Academy,2021-10-10,['Education'],"['#datascienec', '#datasciencetraining', '#youtubeshorts', '#machinelearning', '#artificialintelligence', '#tutortacademy', '#tutortacademyreviews', '#tutortacademyshorts', '#learndatascience', '#datasciencetraininginbanaglore', '#machinelearningtraining']",21.0,https://www.youtube.com/watch?v=53andhb7SPM,2,96.0,machine+learning,557.0,0.0035906642728904,0.515
639,watch?v=sw3o0rAazMg,Machine Learning Projects You NEVER Knew Existed,,Nicholas Renotte,2021-09-17,['People & Blogs'],"['machine learning projects', 'machine learning', 'machine learning projects in python', 'machine learning projects for beginners', 'ml project ideas', 'ml projects for beginners', 'ai projects for beginners', 'ml project ideas for beginners', 'machine learning project']",920.0,https://www.youtube.com/watch?v=sw3o0rAazMg,81,3104.0,machine+learning,580.0,0.1396551724137931,0.371
647,watch?v=A1kgMEs_ALI,Artificial Intelligence Class 10 Ch 1 |AI vs Machine Learning vs Deep Learning (Differences) 2022-23,,Magnet Brains,2021-08-07,['Education'],"['artificial intelligence class 10 chapter 1', 'introduction to ai', 'excite', 'ai vs machine learning vs deep learning differences', 'artificial intelligence class 10 unit 1.2', 'artificial intelligence', 'artificial intelligence course', 'artificial intelligence class 10th', 'artificial intelligence class 10 cbse', 'artificial intelligence class 10 in hindi', 'artificial intelligence class 10 cbse chapter 1', 'differences between artificial intelligence machine learning deep learning', '2022-23', '2022', '2023']",1263.0,https://www.youtube.com/watch?v=A1kgMEs_ALI,61,1926.0,machine+learning,621.0,0.0982286634460547,0.496
651,watch?v=9gGnTQTYNaE,What is Machine Learning?,,IBM Technology,2021-07-14,['Science & Technology'],"['Machine Learning', 'Deep Learning', 'AI', 'Artificial Intelligence', 'supervised learning', 'unsupervised learning', 'Neural Networks', 'cloud computing', 'IBM', 'IBM Cloud', 'IBM Watson']",503.0,https://www.youtube.com/watch?v=9gGnTQTYNaE,59,1186.0,machine+learning,645.0,0.0914728682170542,0.531
657,watch?v=VAHoryyJPaA,What is machine learning (ML) in telugu,,NeoExplore,2021-06-19,['Education'],"['ml', 'machine learning', 'artificial intelligence', 'in telugu', 'explore', 'exploreedu', 'what is machine learning', 'introduction to machine learning', 'machine learning example', 'machine learning examples in real life', 'cse', 'cse ai and ml', 'cse ai', 'cse ml', 'future of ai', 'ai and ml', 'symbolic ai', 'ai machine learning', 'sagemaker', 'amazon sagemaker', 'deep learning ai', 'ai and machine learning', 'azure machine learning studio', 'machine learning for dummies bigquery ml', 'fraud detection machine learning']",532.0,https://www.youtube.com/watch?v=VAHoryyJPaA,23,1074.0,machine+learning,670.0,0.0343283582089552,0.432
662,watch?v=DazUaVu5MO0,Machine Learning VS Deep Learning : Quelles différences ?,,DataScientest,2021-05-19,['Science & Technology'],"['datascience', 'data science', 'data scientist', 'data analyst', 'data ingénieur', 'machine learning', 'deep learning', 'programmation python', 'bootcamp data science', 'formation data', 'formation data analyst', 'formation data scientist', 'elearning', 'formation data ingenieur', 'big data', 'coding bootcamp', 'python programming', 'cloud', 'cloud computing', 'dataviz', 'data tutoriel']",288.0,https://www.youtube.com/watch?v=DazUaVu5MO0,14,368.0,machine+learning,701.0,0.0199714693295292,0.403
672,watch?v=XUFLq6dKQok,FORMATION DEEP LEARNING COMPLETE (2021),,Machine Learnia,2021-04-25,['Education'],"['Machine Learning', 'Python', 'Deep Learning', 'Tensorflow', 'Keras', 'Réseau de Neurone', 'Francais', 'Formation', 'MNIST', 'cds']",1857.0,https://www.youtube.com/watch?v=XUFLq6dKQok,683,26576.0,machine+learning,725.0,0.9420689655172414,0.376
686,watch?v=7WTEWyn9zfU,Diferencias entre Inteligencia Artificial vs Machine Learning vs Deep Learning,,Rafa Gonzalez Gouveia,2021-03-14,['Education'],"['gonzalezgouveia', 'data science español', 'rafa gonzalez gouveia', 'rafa gonsales gouveia', 'rafa gonzalez gouveai', 'rafa gonzalez gouvaie', 'rafa gonzalez gouvaei', 'rafa gonzalez guoveia', 'rafa gonzalez guoveai', 'rafa gonzalez guovaie', 'inteligencia artificial', 'machine learning', 'aprendizaje de máquina', 'deep learning', 'aprendizale profundo']",377.0,https://www.youtube.com/watch?v=7WTEWyn9zfU,18,1083.0,machine+learning,767.0,0.0234680573663624,0.475
687,watch?v=HRjdxozngys,Lecture 1 : Introduction to machine learning Part 1,,Ahmed Yousry,2021-03-14,['People & Blogs'],,1304.0,https://www.youtube.com/watch?v=HRjdxozngys,32,411.0,machine+learning,767.0,0.0417209908735332,0.379
688,watch?v=ZftI2fEz0Fw,What is Machine Learning? | 100 Days of Machine Learning,,CampusX,2021-03-13,['Education'],"['machine learning tutorial', 'machine learning course', 'machine learning python', 'machine learning algorithms', 'machine learning explained', 'machine learning algorithms for data science', 'what is machine learning', 'what is machine learning in hindi', 'machine learning basics for beginners', 'end to end machine learning', 'What is machine learning with example?', 'Machine learning introduction', 'deep learning', 'campusx', 'machine learning', 'nitish singh campusx', 'nitish sir campusx']",1200.0,https://www.youtube.com/watch?v=ZftI2fEz0Fw,188,2474.0,machine+learning,768.0,0.2447916666666666,0.345
695,watch?v=1FZ0A1QCMWc,Supervised vs Unsupervised vs Reinforcement Learning | Machine Learning Tutorial | Simplilearn,,Simplilearn,2020-11-20,['Education'],"['supervised vs unsupervised vs reinforcement learning', 'supervised learning', 'unsupervised learning', 'reinforcement learning', 'supervised learning tutorial', 'unsupervised learning tutorial', 'types of machine learning', 'supervised learning algorithms', 'unsupervised learning algorithms', 'machine learning algorithms compared', 'supervised vs unsupervised learning', 'supervised vs unsupervised learning difference', 'machine learning tutorial', 'simplilearn machine learning', 'simplilearn']",387.0,https://www.youtube.com/watch?v=1FZ0A1QCMWc,109,2534.0,machine+learning,881.0,0.1237230419977298,0.485
698,watch?v=biVJlWRIUIk,Palestra: Machine Learning,,IFMS Campus Três Lagoas,2020-11-04,['Science & Technology'],,7149.0,https://www.youtube.com/watch?v=biVJlWRIUIk,59,6.0,machine+learning,897.0,0.0657748049052396,0.399
705,watch?v=MLaJbA82nzk,PCA problem / How to compute principal components / KTU Machine learning,,EduFlair KTU CS,2020-10-10,['Education'],"['pca example', 'pca example step by step', 'principal component analysis', 'pca machine learning', 'pca for dimensionality reduction', 'pca machine learning example', 'pca dimension reduction', 'pca problem example', 'pca principal component analysis', 'pca', 'principal component analysis machine learning', 'principal component analysis example', 'pca in machine learning', 'pca calculation example', 'dimensionality reduction pca', 'pca algorithm', 'pca algorithm example', 'pca algorithm steps']",1439.0,https://www.youtube.com/watch?v=MLaJbA82nzk,234,4684.0,machine+learning,922.0,0.2537960954446854,0.302
709,watch?v=O2wYwFOMQ24,1. Candidate Elimination Algorithm | Solved Example - 1 | Machine Learning by Mahesh Huddar,,Mahesh Huddar,2020-09-20,['Education'],"['candidate elimination algorithm', 'candidate elimination algorithm example', 'candidate elimination algorithm machine learning', 'candidate elimination algorithm python', 'candidate elimination Solved', 'candidate elimination solved example', 'candidate elimination VTU', 'candidate elimination VTU ML', 'candidate elimination VTU Lab', 'candidate elimination algorithm Implementation', 'candidate elimination algorithm youtube', 'Mahesh Huddar', 'version space', 'candidate elimination', 'find s algorithm']",929.0,https://www.youtube.com/watch?v=O2wYwFOMQ24,221,3698.0,machine+learning,942.0,0.2346072186836518,0.305
715,watch?v=Ip1a2JHdt3E,KÜNSTLICHE INTELLIGENZ vs. MACHINE LEARNING vs. DEEP LEARNING,,Florian Dalwigk,2020-08-25,['Education'],"['künstliche intelligenz', 'künstliche intelligenz erklärt', 'künstliche intelligenz einfach erklärt', 'künstliche intelligenz vs mensch', 'künstliche intelligenz vs deep learning', 'künstliche intelligenz vs machine learning', 'machine learning deutsch', 'machine learning deep learning unterschied', 'machine learning einfach erklärt', 'machine learning einführung', 'machine learning neuronale netze unterschied', 'künstliche neuronale netze', 'künstliche neuronale netze einfach erklärt', 'florian dalwigk']",508.0,https://www.youtube.com/watch?v=Ip1a2JHdt3E,106,3182.0,machine+learning,968.0,0.1095041322314049,0.477
717,watch?v=vpm8T-JhOjo,Introduction to Machine Learning | Artificial Neurons | Malayalam.,,m2power future,2020-08-08,['Education'],"['Perceptron', 'Artificial Neural Network', 'Artificial Neuron', 'Artificial Intelligence', 'artificial intelligence in malayalam', 'machine learning malayalam', 'artificial intelligence and machine learning malayalam', 'artificial intelligence examples in daily life', 'how will artificial intelligence affect your life in malayalam', 'deep learning introduction', 'deep learning examples in real life', 'ai applications examples', 'artificial intelligence examples in malayalam']",791.0,https://www.youtube.com/watch?v=vpm8T-JhOjo,31,1298.0,machine+learning,985.0,0.0314720812182741,0.356
725,watch?v=nFEwZtfSfuM,AI vs Machine Learning vs Deep Learning | Bangla Tutorial | CS Bangla,,CS Bangla,2020-07-01,['Education'],"['csbangla', 'CS Bangla', 'cs bangla', 'bangla programming tutorial', 'programming tutorial', 'ai vs machine learning vs deep learning', 'ai vs ml vs dl', 'artificial intelligence vs machine learning vs deep learning', 'artificial intelligence', 'machine learning', 'deep learning', 'what is ai', 'what is ml', 'what is dl', 'what is artificial intelligence', 'what is machine learning', 'what is deep learning', 'deep learning vs machine learning', 'ai vs ml vs dl bangla tutorial', 'avishek']",682.0,https://www.youtube.com/watch?v=nFEwZtfSfuM,9,270.0,machine+learning,1023.0,0.0087976539589442,0.422
738,watch?v=1k37OcjH7BM,Andrew Ng: Advice on Getting Started in Deep Learning | AI Podcast Clips,,Lex Fridman,2020-02-21,['Science & Technology'],"['andrew ng', 'artificial intelligence', 'ai', 'ai podcast', 'artificial intelligence podcast', 'lex clips', 'lex fridman', 'lex podcast', 'lex mit', 'lex ai', 'mit ai', 'ai podcast clips', 'ai clips']",1606.0,https://www.youtube.com/watch?v=1k37OcjH7BM,263,9028.0,machine+learning,1154.0,0.2279029462738301,0.416
744,watch?v=mE58Q_sAUa8,Minuto Zoox - Machine Learning,,Zoox Smart Data,2020-01-03,['Science & Technology'],,59.0,https://www.youtube.com/watch?v=mE58Q_sAUa8,89,6.0,machine+learning,1203.0,0.0739817123857024,0.415
748,watch?v=k2P_pHQDlp0,AI VS ML VS DL VS Data Science,,Krish Naik,2019-11-26,['Education'],"['Artificial Intelligence', 'Machine Learning', 'Deep Learning', 'Data Science']",585.0,https://www.youtube.com/watch?v=k2P_pHQDlp0,2,60570.0,machine+learning,1241.0,0.0016116035455278,0.326
751,watch?v=OeU5m6vRyCk,AI: What is Machine Learning?,,Code.org,2019-12-02,['Education'],"['Code.org', 'computer science', 'code', 'Hour of Code']",176.0,https://www.youtube.com/watch?v=OeU5m6vRyCk,93,785.0,machine+learning,1235.0,0.0753036437246963,0.508
753,watch?v=t5z5lyrb-7s,"Introdução ao Machine Learning (ML de Zero a 100, parte 1)",,TensorFlow,2019-11-13,['Science & Technology'],"['Coding TensorFlow', 'Machine learning zero to hero', 'zero to hero', 'intro to ML', 'ML', 'machine learning', 'ML model python', 'python language', 'AI', 'artificial intelligence', 'AI advocate', 'code for machine learning', 'machine learning code', 'TensorFlow', 'tensorflow coding', 'tf coding', 'Laurence Moroney']",411.0,https://www.youtube.com/watch?v=t5z5lyrb-7s,25,1573.0,machine+learning,1254.0,0.0199362041467304,0.318
762,watch?v=qeJjdOeBS74,Hindi Machine Learning Tutorial 1 - What is Machine Learning?,,codebasics Hindi,2019-09-15,['People & Blogs'],"['machine learning hindi', 'deep learning hindi tutorial', 'machine learning python hindi', 'machine learning tutorial hindi', 'codebasics hindi', 'machine learning tutorial in hindi', 'machine learning in hindi', 'what is machine learning in hindi', 'python machine learning in hindi', 'machine learning course in hindi', 'machine learning python in hindi', 'machine learning tutorial in hindi playlist', 'ml in hindi', 'what is machine learning hindi', 'machine learning full course in hindi']",384.0,https://www.youtube.com/watch?v=qeJjdOeBS74,66,1792.0,machine+learning,1313.0,0.0502665651180502,0.3
764,watch?v=ccZ2pyr3YDw,"Qual a diferença entre Inteligência Artificial, Machine Learning, Data Science, Deep Learning, etc?",,Filipe Deschamps,2019-08-23,['Science & Technology'],"['inteligencia artificial', 'inteligencia artificial curso', 'inteligencia artificial python', 'inteligencia artificial python curso', 'programar inteligencia artificial python', 'curso de ia', 'Machine Learning', 'machine learning tutorial', 'machine learning tutorial python', 'machine learning tutorial portugues', 'Data Science', 'data science python', 'data science python tutorial', 'Deep Learning', 'deep learning tutorial', 'deep learning tutorial python', 'python inteligencia artificial']",1196.0,https://www.youtube.com/watch?v=ccZ2pyr3YDw,310,23625.0,machine+learning,1336.0,0.2320359281437125,0.336
766,watch?v=VMp6pq6_QjI,AI Learns to Park - Deep Reinforcement Learning,,Samuel Arzt,2019-08-23,['Science & Technology'],"['AI', 'Neural Networks', 'Deep Learning', 'Reinforcement Learning', 'Deep Reinforcement Learning', 'Car', 'Simulation', '3D', 'Unity', 'Unity3D', 'madewithunity', 'Machine Learning', 'ML', 'ANNs', 'ML-Agents', 'Unity ML-Agents', 'PPO', 'Proximal Policy Optimization', 'RL', 'Parking']",665.0,https://www.youtube.com/watch?v=VMp6pq6_QjI,2,46093.0,machine+learning,1336.0,0.0014970059880239,0.599
